"MES_REFERENCIA";"SUBMERCADO";"PLD_MEDIA_MES"
"200101";NORDESTE;33.87
"200101";NORTE;33.87
"200101";SUDESTE;56.92
"200101";SUL;56.92
"200102";NORDESTE;121.47
"200102";NORTE;121.47
"200102";SUDESTE;160.29
"200102";SUL;154.17
"200103";NORDESTE;154.21
"200103";NORTE;154.21
"200103";SUDESTE;165.97
"200103";SUL;151.6
"200104";NORDESTE;247.35
"200104";NORTE;247.35
"200104";SUDESTE;252.18
"200104";SUL;242.66
"200105";NORDESTE;440.99
"200105";NORTE;440.99
"200105";SUDESTE;459.89
"200105";SUL;420.22
"200106";NORDESTE;684
"200106";NORTE;549.42
"200106";SUDESTE;684
"200106";SUL;67.63
"200107";NORDESTE;684
"200107";NORTE;684
"200107";SUDESTE;684
"200107";SUL;53.64
"200108";NORDESTE;684
"200108";NORTE;684
"200108";SUDESTE;684
"200108";SUL;46.2
"200109";NORDESTE;647.45
"200109";NORTE;579.6
"200109";SUDESTE;579.6
"200109";SUL;74.25
"200110";NORDESTE;562.15
"200110";NORTE;336
"200110";SUDESTE;336
"200110";SUL;13.62
"200111";NORDESTE;562.15
"200111";NORTE;336
"200111";SUDESTE;336
"200111";SUL;38.05
"200112";NORDESTE;562.15
"200112";NORTE;336
"200112";SUDESTE;336
"200112";SUL;26.4
"200201";NORDESTE;515.17
"200201";NORTE;4.04
"200201";SUDESTE;297.05
"200201";SUL;50.49
"200202";NORDESTE;319.41
"200202";NORTE;4.45
"200202";SUDESTE;43.86
"200202";SUL;8.02
"200203";NORDESTE;5.79
"200203";NORTE;5.79
"200203";SUDESTE;9.77
"200203";SUL;9.11
"200204";NORDESTE;6.97
"200204";NORTE;9.12
"200204";SUDESTE;14.58
"200204";SUL;15
"200205";NORDESTE;4.12
"200205";NORTE;10.4
"200205";SUDESTE;19.53
"200205";SUL;20.23
"200206";NORDESTE;7.73
"200206";NORTE;7.01
"200206";SUDESTE;13.39
"200206";SUL;11.83
"200207";NORDESTE;16.45
"200207";NORTE;13.62
"200207";SUDESTE;16.67
"200207";SUL;16.9
"200208";NORDESTE;12.87
"200208";NORTE;11.22
"200208";SUDESTE;11.32
"200208";SUL;11.83
"200209";NORDESTE;5.35
"200209";NORTE;5.35
"200209";SUDESTE;5.82
"200209";SUL;5.97
"200210";NORDESTE;4.65
"200210";NORTE;4.65
"200210";SUDESTE;4.84
"200210";SUL;4.63
"200211";NORDESTE;6
"200211";NORTE;6.34
"200211";SUDESTE;6.44
"200211";SUL;4.54
"200212";NORDESTE;5.2
"200212";NORTE;6.31
"200212";SUDESTE;5.05
"200212";SUL;4.23
"200301";NORDESTE;4.33
"200301";NORTE;4.29
"200301";SUDESTE;4.05
"200301";SUL;4.02
"200302";NORDESTE;4
"200302";NORTE;4
"200302";SUDESTE;4
"200302";SUL;4
"200303";NORDESTE;4
"200303";NORTE;4
"200303";SUDESTE;4
"200303";SUL;4
"200304";NORDESTE;5.48
"200304";NORTE;5.48
"200304";SUDESTE;5.48
"200304";SUL;5.48
"200305";NORDESTE;6.34
"200305";NORTE;6.23
"200305";SUDESTE;7.3
"200305";SUL;7.3
"200306";NORDESTE;10.53
"200306";NORTE;10.43
"200306";SUDESTE;11.22
"200306";SUL;11.22
"200307";NORDESTE;9.87
"200307";NORTE;13.1
"200307";SUDESTE;13.14
"200307";SUL;13.92
"200308";NORDESTE;13.37
"200308";NORTE;16.89
"200308";SUDESTE;16.95
"200308";SUL;18.56
"200309";NORDESTE;15.44
"200309";NORTE;18.3
"200309";SUDESTE;18.3
"200309";SUL;20.52
"200310";NORDESTE;19.88
"200310";NORTE;25.73
"200310";SUDESTE;25.82
"200310";SUL;26.3
