"MES_REFERENCIA";"SUBMERCADO";"PLD_MEDIA_MES"
"202301";NORDESTE;69.04
"202301";NORTE;69.04
"202301";SUDESTE;69.04
"202301";SUL;69.04
"202302";NORDESTE;69.04
"202302";NORTE;69.04
"202302";SUDESTE;69.04
"202302";SUL;69.04
"202303";NORDESTE;69.04
"202303";NORTE;69.04
"202303";SUDESTE;69.04
"202303";SUL;69.04
"202304";NORDESTE;69.04
"202304";NORTE;69.04
"202304";SUDESTE;69.04
"202304";SUL;69.04
"202305";NORDESTE;69.04
"202305";NORTE;69.04
"202305";SUDESTE;69.04
"202305";SUL;69.04
"202306";NORDESTE;69.04
"202306";NORTE;69.04
"202306";SUDESTE;69.04
"202306";SUL;69.04
"202307";NORDESTE;69.04
"202307";NORTE;69.04
"202307";SUDESTE;69.04
"202307";SUL;69.04
"202308";NORDESTE;69.04
"202308";NORTE;69.04
"202308";SUDESTE;69.04
"202308";SUL;69.04
"202309";NORDESTE;80.37
"202309";NORTE;80.37
"202309";SUDESTE;80.37
"202309";SUL;80.37
"202310";NORDESTE;74.84
"202310";NORTE;74.84
"202310";SUDESTE;74.84
"202310";SUL;74.84
"202311";NORDESTE;84.4
"202311";NORTE;84.4
"202311";SUDESTE;84.4
"202311";SUL;84.4
"202312";NORDESTE;74.09
"202312";NORTE;74.09
"202312";SUDESTE;74.09
"202312";SUL;74.09
