MES_REFERENCIA;SUBMERCADO;PLD_MEDIA_MES
202512;NORDESTE;265.87
202512;NORTE;265.87
202512;SUDESTE;265.89
202512;SUL;265.89
202511;NORDESTE;275.04
202511;NORTE;276.62
202511;SUDESTE;278.18
202511;SUL;278.02
202510;NORDESTE;218.37
202510;NORTE;249.4
202510;SUDESTE;250.19
202510;SUL;250.18
202509;NORDESTE;245.86
202509;NORTE;259.46
202509;SUDESTE;260.35
202509;SUL;260.34
202508;NORDESTE;268.67
202508;NORTE;285.88
202508;SUDESTE;287.17
202508;SUL;287.17
202507;NORDESTE;205.55
202507;NORTE;207.88
202507;SUDESTE;210.02
202507;SUL;211.67
202501;NORDESTE;59.18
202501;NORTE;59.18
202501;SUDESTE;59.21
202501;SUL;59.21
202502;NORDESTE;58.6
202502;NORTE;58.6
202502;SUDESTE;93.76
202502;SUL;93.83
202503;NORDESTE;58.96
202503;NORTE;58.96
202503;SUDESTE;327.32
202503;SUL;332.56
202504;NORDESTE;107.28
202504;NORTE;107.27
202504;SUDESTE;202.18
202504;SUL;202.98
202505;NORDESTE;124.98
202505;NORTE;125.19
202505;SUDESTE;212.58
202505;SUL;233.39
202506;NORDESTE;230.9
202506;NORTE;232.29
202506;SUDESTE;234.71
202506;SUL;236.1
